Date,Open,High,Low,Close,Adj Close,Volume
2005-05-16,1.260605,1.269100,1.254202,1.255398,1.255398,0
2005-05-23,1.255398,1.262897,1.250203,1.253101,1.253101,0
2005-05-30,1.252803,1.254705,1.216693,1.223107,1.223107,0
2005-06-06,1.223107,1.234598,1.211006,1.211504,1.211504,0
2005-06-13,1.211695,1.229997,1.202198,1.219304,1.219304,0
2005-06-20,1.219795,1.225100,1.200595,1.211094,1.211094,0
2005-06-27,1.210903,1.218606,1.191398,1.193602,1.193602,0
2005-07-04,1.191199,1.202993,1.187197,1.197003,1.197003,0
2005-07-11,1.197103,1.225295,1.196301,1.203398,1.203398,0
2005-07-18,1.203804,1.222703,1.195900,1.205095,1.205095,0
2005-07-25,1.205095,1.222494,1.197605,1.212400,1.212400,0
2005-08-01,1.212298,1.260398,1.212195,1.233395,1.233395,0
2005-08-08,1.233700,1.248393,1.231997,1.245407,1.245407,0
2005-08-15,1.245407,1.245795,1.213298,1.216900,1.216900,0
2005-08-22,1.216900,1.234004,1.215998,1.229997,1.229997,0
2005-08-29,1.230603,1.258796,1.217597,1.253903,1.253903,0
2005-09-05,1.253903,1.258606,1.237501,1.240295,1.240295,0
2005-09-12,1.240202,1.241403,1.214993,1.214993,1.214993,0
2005-09-19,1.215407,1.226904,1.200106,1.202704,1.202704,0
2005-09-26,1.202603,1.208007,1.198595,1.201995,1.201995,0
2005-10-03,1.202096,1.220495,1.190405,1.211504,1.211504,0
2005-10-10,1.211607,1.215200,1.191895,1.207001,1.207001,0
2005-10-17,1.207001,1.212106,1.188199,1.194401,1.194401,0
2005-10-24,1.194501,1.217196,1.192506,1.206505,1.206505,0
2005-10-31,1.206505,1.208897,1.180401,1.180693,1.180693,0
2005-11-07,1.180693,1.182998,1.167406,1.173502,1.173502,0
2005-11-14,1.173599,1.178495,1.164850,1.177607,1.177607,0
2005-11-21,1.177496,1.185705,1.169044,1.171797,1.171797,0
2005-11-28,1.170905,1.188495,1.166807,1.171797,1.171797,0
2005-12-05,1.172003,1.184806,1.169098,1.179398,1.179398,0
2005-12-12,1.179496,1.205705,1.179454,1.203804,1.203804,0
2005-12-19,1.203601,1.203905,1.180456,1.186197,1.186197,0
2005-12-26,1.186197,1.193104,1.178300,1.184301,1.184301,0
2006-01-02,1.184203,1.217404,1.181502,1.214300,1.214300,0
2006-01-09,1.214005,1.217404,1.201302,1.216604,1.216604,0
2006-01-16,1.216501,1.217093,1.205400,1.217004,1.217004,0
2006-01-23,1.216797,1.232104,1.209102,1.210595,1.210595,0
2006-01-30,1.210595,1.218457,1.197504,1.202704,1.202704,0
2006-02-06,1.203094,1.204297,1.187099,1.190094,1.190094,0
2006-02-13,1.190094,1.195000,1.185298,1.194843,1.194843,0
2006-02-20,1.194943,1.197504,1.183404,1.184203,1.184203,0
2006-02-27,1.184399,1.208897,1.183194,1.208196,1.208196,0
2006-03-06,1.208649,1.209204,1.186704,1.191895,1.191895,0
2006-03-13,1.192293,1.220405,1.192051,1.217893,1.217893,0
2006-03-20,1.218101,1.219497,1.195700,1.203398,1.203398,0
2006-03-27,1.203297,1.241095,1.198595,1.211798,1.211798,0
2006-04-03,1.212106,1.232894,1.203804,1.211094,1.211094,0
2006-04-10,1.211094,7.413448,1.207802,1.212797,1.212797,0
2006-04-17,1.212900,1.239895,1.212900,1.237700,1.237700,0
2006-04-24,1.237501,1.264095,1.234202,1.262499,1.262499,0
2006-05-01,1.262499,1.276503,1.256202,1.273496,1.273496,0
2006-05-08,1.273301,1.297202,1.266705,1.297050,1.297050,0
2006-05-15,1.297303,1.297303,1.270196,1.276699,1.276699,0
2006-05-22,1.276797,1.288793,1.270293,1.273999,1.273999,0
2006-05-29,1.273999,1.294096,1.272799,1.292507,1.292507,0
2006-06-05,1.292507,1.297656,1.260605,1.261798,1.261798,0
2006-06-12,1.261543,1.267202,1.253400,1.263695,1.263695,0
2006-06-19,1.263807,1.267893,1.248595,1.251001,1.251001,0
2006-06-26,1.250907,1.279803,1.250704,1.279001,1.279001,0
2006-07-03,1.278903,1.285397,1.271100,1.280902,1.280902,0
2006-07-10,1.280902,1.281394,1.262993,1.263903,1.263903,0
2006-07-17,1.263903,1.271407,1.246603,1.270696,1.270696,0
2006-07-24,1.270696,1.277107,1.256408,1.276454,1.276454,0
2006-07-31,1.276503,1.290906,1.272297,1.288494,1.288494,0
2006-08-07,1.288394,7.245327,1.271294,1.273301,1.273301,0
2006-08-14,1.273399,1.288693,1.271100,1.283895,1.283895,0
2006-08-21,1.283895,1.293695,1.273301,1.276194,1.276194,0
2006-08-28,1.276096,1.287797,1.275299,1.284802,1.284802,0
2006-09-04,1.285298,1.287598,1.265999,1.267202,1.267202,0
2006-09-11,1.267299,1.275152,1.262706,1.264398,1.264398,0
2006-09-18,1.264302,1.283005,1.263504,1.279100,1.279100,0
